Ankave	aak
Bhatri dialect	bgw
Banggai	bgz
Bhili	bhb
Bhalesi	bhd
Bhadrawahi	bhd
Binandere	bhg
Judeo-Tajik	bhh
Bahing	bhj
Bhojpuri	bho
Bimanese	bhp
Kolo	bhp
Binongko	bhq
Bara (Madagascar)	bhr
Biak	bhw
Numfor	bhw
Bada (Indonesia)	bhz
Bidiyo	bid
Biangai	big
Bihari	bih
Bikol	bik
Bini	bin
Bisorio	bir
Bislama	bis
Birhor	biy
Barngarla	bjb
Bijago	bjg
Bahinemo	bjh
Burji	bji
Kanauji	bjj
Banjarese	bjn
Banjar Hulu	bjn
Antaisaka	bjq
Betsimisaraka	bjq
Binumarien	bjr
Bakwé	bjw
Southern Bontoc	bkb
Eastern Bontoc	bkb
Baka (Cameroon and Gabon)	bkc
Binukid Manobo	bkd
Baki	bki
Brokpa	bkk
Berik	bkl
Kom (Cameroon)	bkm
Bakairi	bkq
Bakumpai	bkr
Bekwarra	bkv
Timor	bkx
Bungku	bkz
Siksika	bla
Bella Coola	blc
Atinggola	bld
Uki	bld
Balante	ble
Buol	blf
Bolia	bli
Bolongan	blj
Taungthu	blk
Biloxi	bll
Blang	blr
Balaesang	bls
Black Tai	blt
Balangao	blw
Ayta Mag Indi	blx
Balantak	blz
Bembe (Lake Tanganyika)	bmb
Bagirmi	bmi
Bote-Mahi	bmj
Boomu	bmq
Muinane	bmr
Burum (Papua New Guinea)	bmu
Central Bontoc	bnc
Banda (Indonesia)	bnd
Bintauna	bne
Benga	bng
Bobangi	bni
Bunun	bnn
Banton	bno
Bundeli	bns
Pawari	bns
Bangubangu	bnx
Bora	boa
Boni (Kenya and Somalia)	bob
Tibetan	bod
Boma (Congo)	boh
Bom	boj
Bole	bol
Birom	bom
Bororo (Brazil)	bor
Bosnian	bos
Bongo	bot
Bondei	bou
Botlikh	bph
Kaure	bpp
Koronadal Blaan	bpr
Bongu	bpu
Bishnupuriya	bpy
Baima	bqh
Bakhtiari	bqi
Mkaa'	bqz
Braj	bra
Baram	brd
Breton	bre
Bauré	brg
Brahui	brh
Kwiri	bri
Barambu	brm
Boruca	brn
Tutong	bsb
Bassari	bsc
Bashgali	bsh
Burushaski	bsk
Werchikwar	bsk
Barasana del Sur	bsn
Taiwano	bsn
Bassa (Liberia and Sierra Leone)	bsq
Bakossi	bss
Basketo	bst
Baiso	bsw
Dii	bta
Bati	btc
Dairi Pakpak	btd
Biatah	bth
Simelungun	bts
Karo-Batak	btx
Alas	btz
Kluet	btz
Buriat	bua
Tobote	bud
Beothuk	bue
Bushoong	buf
Bugis	bug
Bukawa	buk
Bulgarian	bul
Bulu	bum
Sherbro	bun
Buin	buo
Budu	buu
Bubi language (Gabon)	buw
Northern Bullom	buy
Bube	bvb
Birri	bvq
Burarra	bvr
Meratus	bvu
Bauzi	bvz
Bwaidoga	bwd
Rue	bwg
Baniwa	bwi
Balong	bwt
Buli	bwu
Benge	bww
Bwamu	bww
Bor (Lwo)	bxb
Ongota	bxe
Bayungu	bxj
Bukusu	bxk
Batak	bya
Batak (Philippines)	bya
Bete	byf
Bidjara	bym
Bilin	byn
Baruya	byr
Medumba	byv
Baining	byx
Gbandi	bza
Bribri	bzd
Boiken	bzf
Yangoru	bzf
Favorlang	bzg
Biri (Australia)	bzr
Chorti	caa
Black Carib	cab
Caddo	cad
Chulupí	cag
Carolinian	cal
Camuhi	cam
Chambri	can
Chacobo	cao
Chipaya	cap
Car Nicobarese	caq
Carib	car
Chimane	cas
Moseten	cas
Catalan	cat
Cavineño	cav
Callahuaya	caw
Chiquito	cax
Cayuga	cay
Canichana	caz
Carapana (Tucanoan)	cbc
Cayapa	cbi
Chabacano	cbk
Nyah Kur	cbn
Cashibo	cbr
Cashinawa	cbs
Chayahuita	cbt
Candoshi	cbu
Cacua	cbv
Chamicuro	ccc
Chopi	cce
Chamba Daka	ccg
Chakma	ccp
Chambiali	cdh
Chepang	cdm
Cebuano	ceb
Chamacoco	ceg
Czech	ces
Laizo (Burma)	cfm
Falam Chin	cfm
Kagayanen	cgc
Chiga	cgg
Chamorro	cha
Chibcha	chb
Catawba	chc
Akka	che
Chechen	che
Chagatai	chg
Chinook	chh
Cahuilla	chl
Choctaw	cho
Chipewyan	chp
Cherokee	chr
Chumash	chs
Cholon	cht
Church Slavic	chu
Chuvash	chv
Chuwabo	chw
Chantel	chx
Cheyenne	chy
Ozumacín	chz
Cia-cia	cia
Chickasaw	cic
Chimariko	cid
Chinali	cih
Cimbrian	cim
Chiapanec	cip
Tinrin	cir
Amikwa	ciw
Upper Chehalis	cjh
Chamalal	cji
Chokwe	cjk
Cabecar	cjp
Mangue	cjr
Shor	cjs
Chuave	cjv
Khumi Awa	cka
Mukri	ckb
Anufo	cko
Tayo	cks
Chukchi	ckt
Koasati	cku
Ron	cla
Idu	clk
Mishmi	clk
Clallam	clm
Caluyanun	clu
Maa (Vietnam)	cma
Maa (Southeastern Asia)	cma
Chamí	cmi
Biat	cmo
Central Mnong	cmo
Messapian	cms
Chinbon	cnb
Haka Chin	cnh
Campa	cni
Khumi	cnk
Ahraing Khumi	cnk
Ngaun	cnw
Cocopa	coc
Cocama	cod
Coreguaje	coe
Colorado	cof
Kumiai	coj
Comanche	com
Cofán	con
Akhmimic dialect	cop
Bohairic	cop
Coptic	cop
Sahidic	cop
Coquille	coq
Cornish	cor
Corsican	cos
Caquinte	cot
Chocho	coz
Island Carib	crb
Lonwolwol	crc
Cree	cre
Michif	crg
Crimean Tatar	crh
Cora	crn
Crow	cro
Choroti	crt
Chrau	crw
Carrier	crx
Kashubian	csb
Slovincian	csb
Chilean Sign Language	csg
Khyang	csh
Bodega Miwok	csi
Diola Kasa	csk
Esuulaalu	csk
Chinese Sign Language	csl
Costa Rican Sign Language	csr
Mutsun	css
Siyin	csy
Coos	csz
Tiddim Chin	ctd
Chitimacha	ctm
Catio	cto
Cua	cua
Cubeo	cub
Cuiba	cui
Sicuane	cui
Chontaquiro	cuj
Cuna	cuk
Cueva	cuk
Culina	cul
Cupeño	cup
Ya	cuu
Kwatay	cwt
Cayuvava	cyb
Welsh	cym
Cuyunon	cyo
Zotung	czt
Dangaleat	daa
Ham	dad
Dan	daf
Dagbani	dag
Day (Chad)	dai
Dakota	dak
Santee	dak
Yankton	dak
Dahalo	dal
Danish	dan
Dafla	dap
Tagin	dap
Dargwa	dar
Kubachi	dar
Dabida	dav
Taita	dav
Edopi	dbf
Begak	dbj
Djirbal	dbl
Daba	dbq
Dakhini	dcc
Fataluku	ddg
Djaru	ddj
Dendi	ddn
Dido	ddo
Dedua	ded
Degema	deg
Delaware	del
Chutiya	der
Desana	des
German	deu
Dengese	dez
Dumagat (Casiguran)	dgc
Wule	dgi
Dogri	dgo
Dogrib	dgr
Daga	dgz
Jaipuri	dhd
Wan'guri	dhg
Dhimal	dhi
Dhalandji	dhl
Himba	dhm
Dhodia	dho
Dargari	dhr
Dhurga	dhu
Dehu	dhv
Danuwar Rai	dhw
Vata	dic
Diyari	dif
Digo	dig
Li	dij
Dinka	din
Padang	dip
Dimasa	dis
Diriku	diu
Divehi	div
Ding	diz
Ngaliwuru	djd
Zarma	dje
Djinang	dji
Ndjebbana	djj
Djuka	djk
Boni (French Guiana and Suriname)	djk
Jamsay dialect	djm
Bor (Dinka)	dks
Dolgan	dlg
Dalmatian (Romance)	dlm
Vegliote	dlm
Aduma	dma
Domaaki	dmk
Dampelasa	dms
Dungan	dng
Western Dani	dnw
Dobu	dob
Dompago	dop
Doyayo	dow
Gedeo	drs
Badakhshani	drw
Darai	dry
Lower Sorbian	dsb
Dutch Sign	dse
Danish Sign Language	dsl
Dagur	dta
Duala	dua
Duna	duc
Dukawa	dud
Dumagat (Umirey)	due
Dumbea	duf
Duruma	dug
Dungra Bhil	duh
Djapu	duj
Dusun Deyah	dun
Dupaninan Agta	duo
Dumi	dus
Tulung	duu
Dawawa	dww
Dyan	dya
Djimini	dyi
Diola	dyu
Dyula	dyu
Daza	dzd
Dzongkha	dzo
Embu	ebu
Eteocretan	ecr
Efik	efi
Eggon	ego
Egyptian	egy
Eipo	eip
Ekajuk	eka
Kapauku	ekg
Koti	eko
Ekpeye	ekp
Elamite	elx
Embaloh	emb
Emerillon	eme
Mascoi	emo
Koniagmiut	ems
Pacific Gulf Yupik	ems
Chugach	ems
English	eng
Engenni	enn
Enggano	eno
Enga	enq
Oron	enw
Atisa	epi
Eromanga	erg
South Efate	erk
Erre	err
Ese Ejja	ese
Esselen	esq
Yuit	ess
Estonian	est
Setu	est
Mulgi	est
Karksi	est
Aglemiut	esu
Central Yupik	esu
Eton	eto
Edolo	etr
Etsako	ets
Etruscan	ett
Ejagham	etu
Basque	eus
Even	eve
Evenki	evn
Solon	evn
Ewe	ewe
Ewondo	ewo
Eyak	eya
Fasu	faa
Annobon	fab
Faiwol	fai
Fang	fan
Faroese	fao
Falor	fap
Persian	fas
Fanti	fat
Quebec Sign	fcs
Mahas-Fiyadikka	fia
Fijian	fij
Filipino	fil
Finnish	fin
Izere	fiz
Kalispel	fla
Fali	fli
Kifuliru	flr
Fuliru	flr
Fe'fe'	fmp
Foi	foi
Fon	fon
Fore	for
French	fra
Cajun French	frc
Fordata	frd
Vaudois	frp
Futuna	fud
Pular	fuf
Fula	ful
Fulnio	fun
Friulian	fur
Futuna-Aniwa	fut
Furu	fuu
Bororo (West Africa)	fuv
Fuyuge	fuy
Fur	fvr
Gã	gaa
Gabri	gab
Gaddang	gad
Arekena	gae
Gagauz	gag
Gahuku	gah
Gadsup	gaj
Galoli	gal
Gata'	gaq
Adiwasi Garasia	gas
Gadaba (Dravidian)	gau
Halopa	gaw
Boran	gax
Gayo	gay
Gbaya	gba
Kaytetye	gbb
Garawa	gbc
Sawos	gbf
Galela	gbi
Gadaba (Munda)	gbj
Gadi	gbk
Gamit	gbl
Garhwali	gbm
Parvati	gbm
Gbagyi	gbr
Gagadu	gbu
Gbari	gby
Gedaged	gdd
Gude	gde
Yaghwatadaxa	gdf
Laal	gdm
Gwedena	gdn
Godoberi	gdo
Mahri	gdq
Gade	ged
Gen-Gbe	gej
Enya	gey
Ethiopic	gez
Pala	gfk
Gafat	gft
Gagu	ggu
Gogodala	ggw
Guhu-Samane	ghs
Kitja	gia
Gidar	gid
Gilbertese	gil
Gimi	gim
Ginukh	gin
Gonja	gjn
Gujuri	gju
Gokana	gkn
Nanai	gld
Irish	gle
Galician	glg
Kùláál	glj
Gilaki	glk
Glosa (Artificial)	gls
Manx	glv
Glavda	glw
Gamo	gmo
Gangte	gnb
Guanche	gnc
Zulgo	gnd
Mi Gangam	gng
Lyele	gnh
Gunian	gni
G//ana	gnk
Gumatj	gnn
Gureng Gureng	gnr
Kweni	goa
Dadjriwale? dialect	god
Godie?	god
Gogo	gog
Gola	gol
Chitapavani	gom
Kudali	gom
Gondi	gon
Gorontalo	gor
Tilamuta	gor
Gothic	got
Grebo	grb
Greek	grc
Attic Greek	grc
Doric Greek	grc
Ionic Greek	grc
Aeolic Greek	grc
Ma	grg
Vaturanga	gri
Jabo	grj
Guarani	grn
Garo	grt
Goajiro	guc
Gupapuyngu	guf
Guahibo	guh
Chiriguano	gui
Gujarati	guj
Parsi-Gujarati	guj
Sea Islands Creole	gul
Moguex	gum
Mbya	gun
Guayabero	guo
Gunwinggu	gup
Guayaki	guq
Frafra	gur
Guatuso	gut
Yanomamo	guu
Gun-Gbe	guw
Gurma	gux
Gusii	guz
Guanano	gvc
Golin	gvf
Marigl	gvf
Kuku-Yalanji	gvn
Zoró	gvo
Tamu	gvr
Gumasi	gvs
Gwich'in	gwi
G/wi	gwj
Gwandara	gwn
Gwere	gwr
Gwa (Ghana)	gwx
Yaayuwee	gya
Gayardilt	gyd
Gungabula	gyf
Bagyele	gyi
Guaymi	gym
Guarayo	gyr
Gorani	hac
Hatam	had
Qottu	hae
Hanga (Ghana)	hag
Haida	hai
Hangaza	han
Ha	haq
Harari	har
Haisla	has
Hausa	hau
Uwana	hau
Hawaiian	haw
Haya	hay
Hazara	haz
Serbo-Croatian	hbs
Huichol	hch
Hadiya	hdy
Black Hmong	hea
Hehe	heh
Heiltsuk	hei
Oowekyala	hei
Herero	her
Laamang	hia
Hidatsa	hid
Fiji Hindi	hif
Kamwe	hig
Hiligaynon	hil
Himachali	him
Hindi	hin
Khari Boli	hin
Hittite	hit
Luwian	hit
Hixkaryana	hix
Hunde	hke
Halia	hla
Halbi	hlb
Hua Hmong	hmd
Hmong	hmn
Hiri Motu	hmo
Hmar	hmr
Kapau	hmt
Chattisgarhi	hne
Hani	hni
Hmong Njua	hnj
Hanunóo	hnn
Suriname Hindustani	hns
Ho	hoc
Harauti	hoj
Holu	hol
Holoholo	hoo
Hopi	hop
Hre	hre
Haroi	hro
Croatian	hrv
Cakavian	hrv
Kajkavian	hrv
Upper Sorbian	hsb
Harsusi	hss
Huambisa	hub
!Xõ	huc
Huli	hui
Hula	hul
Hungana	hum
Hungarian	hun
Székely	hun
Hupa	hup
Chilliwack	hur
Stalo	hur
Murui	huu
Hunzib	huz
Sawu	hvn
Armenian	hye
"Armenian, Modern"	hye
East Armenian	hye
West Armenian	hye
Iai	iai
Iatmul	ian
Purari	iar
Iban	iba
Ibibio	ibb
Iwaidji	ibd
Ibanag	ibg
Ibaloi	ibl
Igbo	ibo
Ngwa	ibo
Ibani	iby
Icelandic Sign Language	icl
Idakho-Isukha-Tiriki	ida
Idaca	idd
Idaté	idt
Idoma	idu
Amganad Ifugao	ifa
Batad Ifugao	ifb
Ayangan Ifugao	ifb
Tuwali	ifk
Kiangan Ifugao	ifk
Mayoyao Ifugao	ifu
Keley-i Kallahan	ify
Ebira	igb
Igede	ige
Igala	igl
Mojo	ign
Interglossa (Artificial)	igs
Iha	ihp
Ijo	ijc
Kolokuma	ijc
Kalabari	ijn
Nembe	ijs
Inuvialuktun	ikt
Kopagmiut	ikt
Inuktitut	iku
Ikwere	ikw
Ik	ikx
Ila	ilb
Occidental (Artificial)	ile
Ilongot	ilk
Iloko	ilo
Imbo Ungu	imo
Indonesian	ind
Deg Hit'an	ing
Ingush	inh
Ingano	inj
Indonesian Sign	inl
Minaean	inm
Isinay	inn
Inoke	ino
Inapari	inp
Inor	ior
Irumu	iou
Iowa	iow
Oto	iow
Ipili	ipi
Inupiaq	ipk
Iquito	iqu
Irahutu	irh
Iraqw	irk
Iranxe	irn
Münkü	irn
Irula	iru
Kasaba	iru
Mangyan	iry
Isneg	isd
Italian Sign	ise
Esan	ish
Icelandic	isl
Italian	ita
Itene	ite
Judeo-Italian	itk
Kamchadal	itl
Itonama	ito
Itsekiri	its
Itawis	itv
Itzá	itz
Yao (Southeastern Asia)	ium
Itbayat	ivb
Batan	ivv
Iwam	iwm
Ixcateco	ixc
Ingrian	izh
Ezaa	izi
Ikwo	izi
Izi	izi
Jarua?ra	jaa
Yabim	jae
Jah Hut	jah
Yanyuwa	jao
Yaqay	jaq
Javanese	jav
Banten	jav
Tegal	jav
Jebel Nefusa	jbn
Shilha	jbn
Lojban (Artificial)	jbo
Jukun	jbu
Judeo-Tat	jdt
Jeh	jeh
Jeli	jek
Ngomba (Bamileke)	jgo
Jicaque	jic
Djingili	jig
Jita	jit
Shuar	jiv
Yamdena	jmd
Yemsa	jnj
Jaunsari	jns
Japanese	jpn
Judeo-Persian	jpr
Cauqui	jqr
Jarai	jra
Judeo-Arabic	jrb
Jurchen	juc
Jirel	jul
Juang	jun
Jupda	jup
Yuruna	jur
Gyarung	jya
Kara-Kalpak	kaa
Kabyle	kab
Kachin	kac
Kara (Central African Republic and Sudan)	kah
Kaje	kaj
Kayapa Kallahan	kak
Kalâtdlisut	kal
Ammassalimiut	kal
Kamba	kam
Kannada	kan
Jenukuruba	kan
Kassonke	kao
Bezhta	kap
Capanahua	kaq
Kashmiri	kas
Adzhar	kat
Georgian	kat
Gurian	kat
Imeretian	kat
Ingilo	kat
Kanuri	kau
Kawi	kaw
Katu	kax
Kamaiurá	kay
Kazakh	kaz
Mbaya	kbc
Kabardian	kbd
Camsa	kbh
Kare	kbj
Koiari	kbk
Kanembu	kbl
Kaiwa (Papua New Guinea)	kbm
Karré	kbn
Kabre	kbp
Kamano	kbq
Kaffa	kbr
Khanty	kca
Southern Khanty	kca
Northern Khanty	kca
Kagoro (Nigeria)	kcg
Katab	kcg
Lilima	kck
Kalanga (Botswana and Zimbabwe)	kck
Nubi	kcn
Kete	kcv
Kattang	kda
Makonde	kde
Tem	kdh
Karamojong	kdj
Kapone	kdk
Kagoma	kdm
Karaim	kdr
Kui (Mon-Khmer)	kdt
Kadu	kdv
Cape Verde Creole	kea
Kele	keb
Kerebe	ked
Kekchi	kek
Kela	kel
Kemak	kem
Anyang	ken
Kakwa	keo
Kera	ker
Ket	ket
Kupia	key
Kodagu	kfa
Konda	kfc
Kota (India)	kfe
Koya	kff
Kurumba	kfi
Kanauri	kfk
Korwa	kfp
Kurku	kfq
Kachchhi	kfr
Bilaspuri	kfs
Kului	kfx
Kumauni	kfy
Komering	kge
Kayu Agung	kge
Kusunda	kgg
Upper Tanudan Kalinga	kgh
Caingua	kgk
Krongo	kgo
Kaingang	kgp
Kamoro	kgq
Abun	kgr
Kumbainggar	kgs
Khasi	kha
Lü	khb
Korowai	khe
Khalkha	khk
Lusi	khl
Khandesi	khn
Khotanese	kho
Delki Khadia dialect	khr
Kharia	khr
Khamti	kht
Khvarshi	khv
Khowar	khw
Lokele	khy
Koalib	kib
Nirere	kib
Kickapoo	kic
Kiriwinian	kij
Kikuyu	kik
Tofa	kim
Kinyarwanda	kin
Kiowa	kio
Kyrgyz	kir
Gope	kiw
Northeastern Kiwai	kiw
Khiamniungan	kix
Kissi	kiz
Kanjobal	kjb
Kisar	kje
Khalaj	kjf
Khmu'	kjg
Khinalugh	kjj
Acoma	kjq
Laguna	kjq
Kashaya	kju
Khün	kkh
Kaguru	kki
Sagara	kki
Kako	kkj
Kokota	kkk
Kosarek	kkl
Karko	kko
Kukwa	kkw
Seruyan	kkx
Guguyimidjir	kky
Klamath	kla
Kiliwa	klb
Kamilaroi	kld
Kulung	kle
Sotang Kura	kle
Tagakaolo	klg
Kalenjin	kln
Kipsikis	kln
Nandi	kln
Kairi	klq
Khaling	klr
Kalash	kls
Kru	klu
Kimbundu	kmb
Kâte	kmg
Kalam	kmh
Lower Tanudan Kalinga	kml
Kom (India)	kmm
Washkuk	kmo
Kamasau	kms
Kamtuk	kmt
Kanite	kmu
Karipuna Creole	kmv
Komo (Congo)	kmw
Kanakuru	kna
Kankanay	kne
Mankanya	knf
Koongo (Western Kongo)	kng
Akatek	knj
Kuranko	knk
Agri	knn
Kunabi	knn
Semang	kns
Kung-Ekoka	knw
Dayak	knx
Kagaba	kog
Komi-Permyak	koi
Konkani	kok
Komi	kom
Kongo	kon
Konjo	koo
Korean	kor
Kusaie	kos
Koyukon	koy
Curripaco	kpc
Kpelle	kpe
Komba	kpf
Kapingamarangi	kpg
Kreish	kpl
Srê	kpm
Koho	kpm
Kposo	kpo
Korape	kpr
Tehit	kps
Karata	kpt
Komi-Yaz'va	kpv
Kobon	kpw
Mountain Koiari	kpx
Koryak	kpy
Palan	kpy
Kalagan	kqe
Kaonde	kqn
Tchien	kqo
Korana	kqz
Kumali	kra
Karachay-Balkar	krc
Krio	kri
Kinaray-a	krj
Karelian	krl
Kurukh	kru
Kisan language (Dravidian)	kru
Kurukh	kru
Shambala	ksb
Southern Kalinga	ksc
Tolai	ksd
Bafia	ksf
Uare	ksj
Kwami	ksq
Kusu	ksv
Sgaw Karen	ksw
Kedang	ksx
Kambata	ktb
Qebena dialect	ktb
Gugada	ktd
Kalkatungu	ktg
Karanga	kth
Karitiana	ktn
Kituba	ktu
Kato	ktw
Kuanyama	kua
Kurada	kud
Kipchak	kue
Kuria	kuj
Kumyk	kum
Kunama	kun
Hazili	kup
Kunimaipa	kup
Kurdish	kur
Kusaal	kus
Kutenai	kut
Upper Kuskokwim	kuu
Kukatja	kux
Kuuku Ya'u	kuy
Atacameno	kuz
Bagulal	kva
Kubu	kvb
Komodo	kvh
Dobel	kvo
Kerinci	kvr
Akit	kvr
Kwaio	kwd
Kwerba	kwe
Kwara'ae	kwf
Cuaiquer	kwi
Kwakiutl	kwk
Kwangali	kwn
Kwese	kws
Kwakum	kwu
Kui	kxu
Kuvi	kxv
Ruri	kya
Kyaka	kyc
Karok	kyh
Karao	kyj
Kalapuya	kyl
Kenga	kyq
Kurmali	kyw
Kayabi	kyz
Auyana	kze
Kosena	kze
Daa	kzf
Dongola-Kenuz	kzh
Kaike	kzq
Karang (Cameroon)	kzr
Kariri	kzw
Kalabra	kzz
Southern Subanen	laa
Lacandon	lac
Hakétia	lad
Ladino	lad
Chamba Lahuli	lae
Pattani (India)	lae
Rangi	lag
Lahnda	lah
Lamba (Zambia and Congo)	lam
Lao	lao
Laqua	laq
Latin	lat
Latvian	lav
Tiwa	lax
Aribwatsa	laz
Lak	lbe
Lahuli	lbf
Ladakhi	lbj
Laven	lbo
Wampar	lbq
Tolaki	lbw
Mekongga	lbw
Pasir (Lawangan)	lbx
Lawangan	lbx
Bawo (Indonesia)	lbx
Lamalama	lby
Lardil	lbz
Lucazi	lch
Lavongai	lcm
Laadi	ldi
Ambo (Zambia)	leb
Bisa	leb
Lendu	led
Lefana	lef
Lengua	leg
Lenje	leh
Nomaante	lem
Lenca	len
Lepcha	lep
Lese	les
Kara (Papua New Guinea)	leu
Lamma	lev
Sigi	lew
Letri lgona	lex
Lezgian	lez
Lugbara	lgg
Longgu	lgu
Lhomi	lhm
Lahu Bakeo dialect	lhu
Lahu	lhu
Ulithi	li
Lindrou	lid
Limbu	lif
Ligbi	lig
Lika	lik
Lillooet	lil
Limburgish	lim
Lisu	lis
Hua Lisu	lis
Lithuanian	lit
Livonian	liv
Lembak Bilide	liw
Sindang Kelingi	liw
Banda	liy
Linda	liy
Mbinsa	liz
Lampung	ljp
Ranau	ljp
Laha (Vietnam)	lkh
Laki language (Iran)	lki
Lakona	lkn
Lakota	lkt
Ladin	lld
Lele (Chad)	lln
North Efate	llp
Lolak	llq
Lau	llu
Limilngan	lmc
Lamé (Cameroon)	lme
Hano	lml
Lambadi	lmn
Lombard	lmo
Limbum	lmp
Lango	lno
Lamnso'	lns
Guyuk	lnu
Longuda	lnu
Logo	log
Lou	loj
Loko	lok
Mongo-Nkundu	lol
Ekonda	lol
Loma	lom
Lomwe language (Malawi)	lon
Téén	lor
Lorhon	lor
Loniu	los
