MARCrole	MARCcode	Definition	OLACrole
Contestee	cts	Use for the party defending a claim, decision, result, etc. being opposed, resisted, or disputed in a court of law. 	(omit role)
Contestee-appellant	ctt	Use for a contestee who takes an appeal from one court or jurisdiction to another to reverse the judgment. 	(omit role)
Contestee-appellee	cte	Use for a contestee against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment. 	(omit role)
Contractor	ctr	Use for a person or organization relevant to a resource, who enters into a contract with another person or organization to perform a specific task. 	(omit role)
Contributor	ctb	Use for a person or organization one whose work has been contributed to a larger work, such as an anthology, serial publication, or other compilation of individual works. Do not use if the sole function in relation to a work is as author, editor, compiler or translator. 	(omit role)
Copyright claimant	cpc	Use for a person or organization listed as a copyright owner at the time of registration. Copyright can be granted or later transferred to another person or organization, at which time the claimant becomes the copyright holder. 	(omit role)
Copyright holder	cph	Use for a person or organization to whom copy and legal rights have been granted or transferred for the intellectual content of a work. The copyright holder, although not necessarily the creator of the work, usually has the exclusive right to benefit financially from the sale and use of the work to which the associated copyright protection applies. 	(omit role)
Corrector	crr	Use for a person or organization who is a corrector of manuscripts, such as the scriptorium official who corrected the work of a scribe. For printed matter, use Proofreader. 	(omit role)
Correspondent	crp	Use for a person or organization who was either the writer or recipient of a letter or other communication. 	(omit role)
Costume designer	cst	Use for a person or organization who designs or makes costumes, fixes hair, etc., for a musical or dramatic presentation or entertainment. 	(omit role)
Cover designer	cov	Use for a person or organization responsible for the graphic design of a book cover, album cover, slipcase, box, container, etc. For a person or organization responsible for the graphic design of an entire book, use Book designer; for book jackets, use Bookjacket designer. 	(omit role)
Creator	cre	Use for a person or organization responsible for the intellectual or artistic content of a work. 	(omit role)
Curator of an exhibition	cur	Use for a person or organization responsible for conceiving and organizing an exhibition. 	(omit role)
Dancer	dnc	Use for a person or organization who principally exhibits dancing skills in a musical or dramatic presentation or entertainment. 	performer
Dedicatee	dte	Use for a person or organization to whom a book, manuscript, etc., is dedicated (not the recipient of a gift). 	(omit role)
Dedicator	dto	Use for the author of a dedication, which may be a formal statement or in epistolary or verse form. 	(omit role)
Defendant	dfd	Use for the party defending or denying allegations made in a suit and against whom relief or recovery is sought in the courts, usually in a legal action. 	(omit role)
Defendant-appellant	dft	Use for a defendant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal action. 	(omit role)
Defendant-appellee	dfe	Use for a defendant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal action. 	(omit role)
Degree grantor	dgg	Use for the organization granting a degree for which the thesis or dissertation described was presented. 	(omit role)
Delineator	dln	Use for a person or organization executing technical drawings from others' designs. 	(omit role)
Depicted	dpc	Use for an entity depicted or portrayed in a work, particularly in a work of art. 	(omit role)
Depositor	dpt	Use for a person or organization placing material in the physical custody of a library or repository without transferring the legal title. 	depositor
Designer	dsr	Use for a person or organization responsible for the design if more specific codes (e.g., “bkd”, “tyd”) are not desired. 	(omit role)
Director	drt	Use for a person or organization who is responsible for the general management of a work or who supervises the production of a performance for stage, screen, or sound recording. 	(omit role)
Dissertant	dis	Use for a person who presents a thesis for a university or higher-level educational degree. 	(omit role)
Distributor	dst	Use for a person or organization that has exclusive or shared marketing rights for an item. 	(omit role)
Donor	dnr	Use for a person or organization who is the donor of a book, manuscript, etc., to its present owner. Donors to previous owners are designated as Former owner “fmo” or Inscriber “ins”. 	(omit role)
Draftsman	drm	Use for a person or organization who prepares artistic or technical drawings. 	(omit role)
Dubious author	dub	Use for a person or organization to which authorship has been dubiously or incorrectly ascribed. 	(omit role)
Editor	edt	Use for a person or organization who prepares for publication a work not primarily his/her own, such as by elucidating text, adding introductory or other critical matter, or technically directing an editorial staff. 	editor
Electrotyper	elt	Use for a person or organization who creates a duplicate printing surface by pressure molding and electrodepositing of metal that is then backed up with lead for printing. 	(omit role)
Engineer	eng	Use for a person or organization that is responsible for technical planning and design, particularly with construction. 	(omit role)
Engraver	egr	Use for a person or organization who cuts letters, figures, etc. on a surface, such as a wooden or metal plate, for printing. 	(omit role)
Etcher	etr	Use for a person or organization who produces text or images for printing by subjecting metal, glass, or some other surface to acid or the corrosive action of some other substance. 	(omit role)
Expert	exp	Use for a person or organization in charge of the description and appraisal of the value of goods, particularly rare items, works of art, etc. 	(omit role)
Facsimilist	fac	Use for a person or organization that executed the facsimile. 	(omit role)
Film editor	flm	Use for a person or organization who is an editor of a motion picture film. This term is used regardless of the medium upon which the motion picture is produced or manufactured (e.g., acetate film, video tape). 	editor
First party	fpy	Use for a person or organization who is identified as the only party or the party of the first part. In the case of transfer of right, this is the assignor, transferor, licensor, grantor, etc. Multiple parties can be named jointly as the first party 	(omit role)
Forger	frg	Use for a person or organization who makes or imitates something of value or importance, especially with the intent to defraud. 	(omit role)
Former owner	fmo	Use for a person or organization who owned an item at any time in the past. Includes those to whom the material was once presented. A person or organization giving the item to the present owner is designated as Donor “dnr”	(omit role)
Funder	fnd	Use for a person or organization that furnished financial support for the production of the work. 	sponsor
Honoree	hnr	Use for a person or organization in memory or honor of whom a book, manuscript, etc. is donated. 	(omit role)
Host	hst	Use for a person who is invited or regularly leads a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host). 	(omit role)
Illuminator	ilu	Use for a person or organization responsible for the decoration of a work (especially manuscript material) with precious metals or color, usually with elaborate designs and motifs. 	(omit role)
Illustrator	ill	Use for a person or organization who conceives, and perhaps also implements, a design or illustration, usually to accompany a written text. 	illustrator
Inscriber	ins	Use for a person who signs a presentation statement. 	(omit role)
Instrumentalist	itr	Use for a person or organization who principally plays an instrument in a musical or dramatic presentation or entertainment. 	performer
Interviewee	ive	Use for a person or organization who is interviewed at a consultation or meeting, usually by a reporter, pollster, or some other information gathering agent. 	(role once discussed)
Interviewer	ivr	Use for a person or organization who acts as a reporter, pollster, or other information gathering agent in a consultation or meeting involving one or more individuals. 	interviewer
Inventor	inv	Use for a person or organization who first produces a particular useful item, or develops a new process for obtaining a known item or result. 	(omit role)
Landscape architect	lsa	Use for a person or organization whose work involves coordinating the arrangement of existing and proposed land features and structures. 	(omit role)
Lender	len	Use for a person or organization permitting the temporary use of a book, manuscript, etc., such as for photocopying or microfilming. 	(omit role)
Libelant	lil	Use for the party who files a libel in an ecclesiastical or admiralty case. 	(omit role)
Libelant-appellant	lit	Use for a libelant who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment. 	(omit role)
Libelant-appellee	lie	Use for a libelant against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment. 	(omit role)
Libelee	lel	Use for a party against whom a libel has been filed in an ecclesiastical court or admiralty. 	(omit role)
Libelee-appellant	let	Use for a libelee who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment. 	(omit role)
Libelee-appellee	lee	Use for a libelee against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment. 	(omit role)
Librettist	lbt	Use for a person or organization who is a writer of the text of an opera, oratorio, etc. 	(omit role)
Licensee	lse	Use for a person or organization who is an original recipient of the right to print or publish. 	(omit role)
Licensor	lso	Use for person or organization who is a signer of the license, imprimatur, etc. 	(omit role)
Lighting designer	lgd	Use for a person or organization who designs the lighting scheme for a theatrical presentation, entertainment, motion picture, etc. 	(omit role)
Lithographer	ltg	Use for a person or organization who prepares the stone or plate for lithographic printing, including a graphic artist creating a design directly on the surface from which printing will be done. 	(omit role)
Lyricist	lyr	Use for a person or organization who is the a writer of the text of a song. 	author
Manufacturer	mfr	Use for a person or organization that makes an artifactual work (an object made or modified by one or more persons). Examples of artifactual works include vases, cannons or pieces of furniture. 	(omit role)
Markup editor	mrk	Use for a person or organization performing the coding of SGML, HTML, or XML markup of metadata, text, etc. 	data_inputter
Metadata contact	mdc	Use for a person or organization primarily responsible for compiling and maintaining the original description of a metadata set (e.g., geospatial metadata set). 	(omit role)
Metal-engraver	mte	Use for a person or organization responsible for decorations, illustrations, letters, etc. cut on a metal surface for printing or decoration. 	(omit role)
Moderator	mod	Use for a person who leads a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion. 	(omit role)
Monitor	mon	Use for a person or organization that supervises compliance with the contract and is responsible for the report and controls its distribution. Sometimes referred to as the grantee, or controlling agency. 	(omit role)
Musician	mus	Use for a person or organization who performs music or contributes to the musical content of a work when it is not possible or desirable to identify the function more precisely. 	performer
Narrator	nrt	Use for a person who is a speaker relating the particulars of an act, occurrence, or course of events. 	speaker
Opponent	opn	Use for a person or organization responsible for opposing a thesis or dissertation. 	(omit role)
Organizer of meeting	orm	Use for a person or organization responsible for organizing a meeting for which an item is the report or proceedings. 	(omit role)
Originator	org	Use for a person or organization performing the work, i.e., the name of a person or organization associated with the intellectual content of the work. This category does not include the publisher or personal affiliation, or sponsor except where it is also the corporate author. Includes a person designated in the work as investigator or principal investigator. 	(omit role)
Owner	own	Use for a person or organization that currently owns an item or collection. 	(omit role)
Papermaker	ppm	Use for a person or organization responsible for the production of paper, usually from wood, cloth, or other fibrous material. 	(omit role)
Patent applicant	pta	Use for a person or organization that applied for a patent. 	(omit role)
Patent holder	pth	Use for a person or organization that was granted the patent referred to by the item. 	(omit role)
Patron	pat	Use for a person or organization responsible for commissioning a work. Usually a patron uses his or her means or influence to support the work of artists, writers, etc. This includes those who commission and pay for individual works. 	sponsor
Performer	prf	Use for a person or organization who exhibits musical or acting skills in a musical or dramatic presentation or entertainment, if specific codes for those functions (“act”, “dnc”, “itr, “voc”, etc.) are not used. 	performer
Photographer	pht	Use for a person or organization responsible for taking photographs, whether they are used in their original form or as reproductions. 	photographer
Plaintiff	ptf	Use for the party who complains or sues in court in a personal action, usually in a legal proceeding. 	(omit role)
Plaintiff-appellant	ptt	Use for a plaintiff who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding. 	(omit role)
Plaintiff-appellee	pte	Use for a plaintiff against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding. 	(omit role)
Platemaker	plt	Use for a person or organization responsible for the production of plates, usually for the production of printed images and/or text. 	(omit role)
Printer	prt	Use for a person or organization who prints texts, whether from type or plates. 	(omit role)
Printer of plates	pop	Use for a person or organization who prints illustrations from plates. 	(omit role)
Printmaker	prm	Use for a person or organization who makes a relief, intaglio, or planographic printing surface. 	(omit role)
Process contact	prc	Use for a person or organization primarily responsible for performing or initiating a process, such as is done with the collection of metadata sets. 	(omit role)
Producer	pro	Use for a person or organization responsible for the making of a motion picture, including business aspects, management of the productions, and the commercial success of the work. 	(omit role)
Production personnel	prd	Use for a person or organization associated with the production (props, lighting, special effects, etc.) of a musical or dramatic presentation or entertainment. 	(omit role)
Programmer	prg	Use for a person or organization responsible for the creation and/or maintenance of computer program design documents, source code, and machine-executable digital files and supporting documentation. 	developer
Proofreader	pfr	Use for a person who corrects printed matter. For manuscripts, use Corrector “crr”. 	(omit role)
Publisher	pbl	Use for a person or organization that makes printed matter, often text, but also printed music, artwork, etc. available to the public. 	(omit role)
Publishing director	pbd	Use for a person or organization who presides over the elaboration of a collective work to ensure its coherence or continuity. This includes editors-in-chief, literary editors, editors of series, etc. 	(omit role)
Puppeteer	ppt	Use for a person or organization who manipulates, controls, or directs puppets or marionettes in a musical or dramatic presentation or entertainment. 	performer
Recipient	rcp	Use for a person or organization to whom correspondence is addressed. 	(omit role)
Recording engineer	rce	Use for a person or organization who supervises the technical aspects of a sound or video recording session. 	recorder
Redactor	red	Use for a person or organization who writes or develops the framework for an item without being intellectually responsible for its content. 	(omit role)
Renderer	ren	Use for a person or organization who prepares drawings of architectural designs (i.e., renderings) in accurate, representational perspective to show what the project will look like when completed. 	(omit role)
Reporter	rpt	Use for a person or organization who writes or presents reports of news or current events on air or in print. 	(omit role)
Research team head	rth	Use for a person who directed or managed a research project. 	researcher
Research team member	rtm	Use for a person who participated in a research project but whose role did not involve direction or management of it. 	researcher
Researcher	res	Use for a person or organization responsible for performing research. 	researcher
Respondent	rsp	Use for the party who makes an answer to the courts pursuant to an application for redress, usually in an equity proceeding. 	(omit role)
Respondent-appellant	rst	Use for a respondent who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding. 	(omit role)
Respondent-appellee	rse	Use for a respondent against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding. 	(omit role)
Responsible party	rpy	Use for a person or organization legally responsible for the content of the published material. 	(omit role)
Restager	rsg	Use for a person or organization, other than the original choreographer or director, responsible for restaging a choreographic or dramatic work and who contributes minimal new content. 	(omit role)
Reviewer	rev	Use for a person or organization responsible for the review of a book, motion picture, performance, etc. 	(omit role)
Rubricator	rbr	Use for a person or organization responsible for parts of a work, often headings or opening parts of a manuscript, that appear in a distinctive color, usually red. 	(omit role)
Scenarist	sce	Use for a person or organization who is the author of a motion picture screenplay. 	(omit role)
Scientific advisor	sad	Use for a person or organization who brings scientific, pedagogical, or historical competence to the conception and realization on a work, particularly in the case of audio-visual items. 	consultant
Scribe	scr	Use for a person who is an amanuensis and for a writer of manuscripts proper. For a person who makes pen-facsimiles, use Facsimilist “fac”. 	(omit role)
Sculptor	scl	Use for a person or organization who models or carves figures that are three-dimensional representations. 	(omit role)
Second party	spy	Use for a person or organization who is identified as the party of the second part. In the case of transfer of right, this is the assignee, transferee, licensee, grantee, etc. Multiple parties can be named jointly as the second party. 	(omit role)
Secretary	sec	Use for a person or organization who is a recorder, redactor, or other person responsible for expressing the views of a organization. 	(omit role)
Set designer	std	Use for a person or organization who translates the rough sketches of the art director into actual architectural structures for a theatrical presentation, entertainment, motion picture, etc. Set designers draw the detailed guides and specifications for building the set. 	(omit role)
Signer	sgn	Use for a person whose signature appears without a presentation or other statement indicative of provenance. When there is a presentation statement, use Inscriber “ins”. 	signer
Singer	sng	Use for a person or organization who uses his/her/their voice with or without instrumental accompaniment to produce music. A performance may or may not include actual words. 	singer
Speaker	spk	Use for a person who participates in a program (often broadcast) and makes a formalized contribution or presentation generally prepared in advance. 	speaker
Sponsor	spn	Use for a person or organization that issued a contract or under the auspices of which a work has been written, printed, published, etc. 	sponsor
Standards body	stn	Use for an organization responsible for the development or enforcement of a standard. 	(omit role)
Stereotyper	str	Use for a person or organization who creates a new plate for printing by molding or copying another printing surface. 	(omit role)
Storyteller	stl	Use for a person relaying a story with creative and/or theatrical interpretation. 	performer
Surveyor	srv	Use for a person or organization who does measurements of tracts of land, etc. to determine location, forms, and boundaries. 	(omit role)
Teacher	tch	Use for a person who, in the context of a resource, gives instruction in an intellectual subject or demonstrates while teaching physical skills. 	(omit role)
Thesis advisor	ths	Use for a person under whose supervision a degree candidate develops and presents a thesis, mémoire, or text of a dissertation. 	(omit role)
Transcriber	trc	Use for a person who prepares a handwritten or typewritten copy from original material, including from dictated or orally recorded material. For makers of pen-facsimiles, use Facsimilist “fac”. 	transcriber
Translator	trl	Use for a person or organization who renders a text from one language into another, or from an older form of a language into the modern form. 	translator
Type designer	tyd	Use for a person or organization who designed the type face used in a particular item. 	(omit role)
Typographer	tyg	Use for a person or organization primarily responsible for choice and arrangement of type used in an item. 	(omit role)
Videographer	vdg	Use for a person or organization in charge of a video production, e.g. the video recording of a stage production as opposed to a commercial motion picture. The videographer may be the camera operator or may supervise one or more camera operators. Do not confuse with cinematographer. 	recorder
Vocalist	voc	Use for a person or organization who principally exhibits singing skills in a musical or dramatic presentation or entertainment. 	singer
Witness	wit	Use for a person who verifies the truthfulness of an event or action. 	(omit role)
Wood-engraver	wde	Use for a person or organization who makes prints by cutting the image in relief on the end-grain of a wood block. 	(omit role)
Woodcutter	wdc	Use for a person or organization who makes prints by cutting the image in relief on the plank side of a wood block. 	(omit role)
Writer of accompanying material	wam	Use for a person or organization who writes significant material which accompanies a sound recording or other audiovisual material. 	
