LCCN	LCSH	Identifier	Name
sh85055238	Glavda language	glw	Glavda
sh87003439	Glosa language (Artificial)	gls	Glosa
sh85055482	Goajiro language	guc	Wayuu
sh85055605	Godoberi language	gdo	Ghodoberi
sh85055658	Godye language	god	Godié
sh85055672	Gogo language	gog	Gogo
sh85055674	Gogodala language	ggw	Gogodala
sh2001003388	Gokana language	gkn	Gokana
sh85055690	Gola language	gol	Gola
sh85055822	Golin language	gvf	Golin
sh85055826	Gólo language	bbp	West Central Banda
sh85055843	Gondi language	gon	Gondi
sh85055858	Gonja language	gjn	Gonja
sh93006491	Gope language	kiw	Northeast Kiwai
sh00004044	Gorani language	hac	Gurani
sh85055968	Gorontalo language	gor	Gorontalo
sh85055993	Gothic language	got	Gothic
sh85057030	Grebo language	grb	Grebo
sh85057151	Greek language	grc	Ancient Greek (to 1453)
sh86005147	Greek Tatar language	uum	Urum
sh85057578	Guahibo language	guh	Guahibo
sh85057586	Guanano language	gvc	Guanano
sh85057587	Guanche language	gnc	Guanche
sh85057601	Guarani language	grn	Guarani
sh85057611	Guarayo language	gyr	Guarayu
sh94003719	Guarijío language	var	Huarijio
sh94000886	Guatuso language	gut	Maléku Jaíka
sh85057664	Guayabero language	guo	Guayabero
sh87001877	Guayaki language	guq	Aché
sh85057676	Guaymi language	gym	Ngäbere
sh85057683	Gude language	gde	Gude
sh85057705	Gugada language	ktd	Kokata
sh96004352	Guguyimidjir language	kky	Guguyimidjir
sh85057708	Guhu-Samane language	ghs	Guhu-Samane
sh85057858	Gujarati language	guj	Gujarati
sh85057876	Gujuri language	gju	Gujari
sh94000048	Gumasi language	gvs	Gumawana
sh85057905	Gumatj language	gnn	Gumatj
sh85057929	Gungabula language	gyf	Gungabula
sh99013591	Gun-Gbe language	guw	Gun
sh89004879	Gunian language	gni	Gooniyandi
sh85057950	Gunu language	yas	Nugunu (Cameroon)
sh85057953	Gunwinggu language	gup	Gunwinggu
sh85057954	Gupapuyngu language	guf	Gupapuyngu
sh97005347	Gureng Gureng language	gnr	Gureng Gureng
sh85057963	Gurian language	kat	Georgian
sh85057970	Gurma language	gux	Gourmanchéma
sh85057987	Gusii language	guz	Gusii
sh85058034	Guyuk language	lnu	Longuda
sh85058037	Gwa language (Ghana)	gwx	Gua
sh85058039	Gwandara language	gwn	Gwandara
sh93006309	Gwedena language	gdn	Umanakaina
sh96003287	Gwich&apos;in language	gwi	Gwich&apos;in
sh85058046	Gyarung language	jya	Jiarong
sh00008826	Ha language	haq	Ha
sh85058281	Haida language	hai	Haida
sh87003583	Haisla language	has	Haisla
sh85073983	Haka Chin language	cnh	Haka Chin
sh85058389	Hakétia language	lad	Ladino
sh85058406	Halbi language	hlb	Halbi
sh85058434	Halia language	hla	Halia
sh87007472	Halopa language	gaw	Nobonob
sh93006548	Ham language	dad	Marik
sh85058740	Hanga language (Ghana)	hag	Hanga
sh85058739	Hanga language (Kenya)	luy	Luyia
sh87007005	Hani language	hni	Hani
sh85058781	Hanunóo language	hnn	Hanunoo
sh85058822	Harari language	har	Harari
sh85058824	Harauti language	hoj	Hadothi
sh85058983	Haroi language	hro	Haroi
sh85059109	Harsusi language	hss	Harsusi
sh99014661	Hatam language	had	Hatam
sh85059289	Hattic language	xht	Hattic
sh85059313	Hausa language	hau	Hausa
sh85059330	Havasupai language	yuf	Havasupai-Walapai-Yavapai
sh85059372	Hawaiian language	haw	Hawaiian
sh85149778	Haya language	hay	Haya
sh85059433	Hayu language	vay	Wayu
sh85059437	Hazara language	haz	Hazaragi
sh85059465	Hazili language	kup	Kunimaipa
sh2001005233	Hedi language	xed	Hdi
sh93002522	Hehe language	heh	Hehe
sh85059952	Heiltsuk language	hei	Heiltsuk
sh85060372	Herero language	her	Herero
sh85060627	Hidatsa language	hid	Hidatsa
sh91000920	Higaonon language	mba	Higaonon
sh85060811	Hiligaynon language	hil	Hiligaynon
sh85060847	Himachali language	him	Himachali
sh87007978	Himba language	dhm	Zemba
sh85060875	Hindi language	hin	Hindi
sh85061012	Hiri Motu language	hmo	Hiri Motu
sh85061263	Hitchiti language	mik	Mikasuki
sh85061276	Hittite language	hit	Hittite
sh85061286	Hixkaryana language	hix	Hixkaryána
sh85061296	Hmar language	hmr	Hmar
sh85061299	Hmong language	hmn	Hmong
sh90004954	Hmong Njua language	hnj	Hmong Njua
sh85061304	Ho language	hoc	Ho
sh85061535	Holoholo language	hoo	Holoholo
sh85061940	Hopi language	hop	Hopi
sh93006310	Hre language	hre	Hre
sh85062719	Hua language (Papua New Guinea)	ygr	Yagaria
sh92005264	Hua Hmong language	hmd	Large Flowery Miao
sh92005134	Hua Lisu language	lis	Lisu
sh85062727	Hualapai language	yuf	Havasupai-Walapai-Yavapai
sh85062731	Huambisa language	hub	Huambisa
sh85062733	Huanca language	qvw	Huaylla Wanca Quechua
sh85062741	Huao language	auc	Waorani
sh85062818	Huichol language	hch	Huichol
sh85062823	Hula language	hul	Hula
sh85062828	Huli language	hui	Huli
sh97005093	Hunde language	hke	Hunde
sh85062991	Hungana language	hum	Hungana
sh85062997	Hungarian language	hun	Hungarian
sh96004239	Hunzib language	huz	Hunzib
sh85063162	Hupa language	hup	Hupa
sh85063189	Hurrian language	xhu	Hurrian
sh85063876	Iai language	iai	Iaai
sh85063883	Iamalele language	yml	Iamalele
sh85063892	Iatmul language	ian	Iatmul
sh85089475	Ibaloi language	ibl	Ibaloi
sh85063901	Iban language	iba	Iban
sh85063904	Ibanag language	ibg	Ibanag
sh87007979	Ibani language	iby	Ibani
sh85063908	Iberian language	xib	Iberian
sh86007446	Ibibio language	ibb	Ibibio
sh85063961	Ica language	arh	Arhuaco
sh85064029	Icelandic language	isl	Icelandic
sh94005161	Idaca language	idd	Ede Idaca
sh95003806	Idaté language	idt	Idaté
sh85064179	Idoma language	idu	Idoma
sh85064185	Idu language	clk	Idu-Mishmi
sh85064186	Iduna language	viv	Iduna
sh00002639	Igala language	igl	Igala
sh85064203	Igbo language	ibo	Igbo
sh85064205	Igede language	ige	Igede
sh93008535	Iha language	ihp	Iha
sh85149071	Ijebu language	yor	Yoruba
sh85064231	Ijo language	ijc	Izon
sh00001800	Ik language	ikx	Ik
sh87006119	Ikwere language	ikw	Ikwere
sh85064248	Ikwo language	izi	Izi-Ezaa-Ikwo-Mgbo
sh85064250	Ila language	ilb	Ila
sh88007672	Ilianen Manobo language	mbi	Ilianen Manobo
sh85064320	Illinois language	mia	Miami
sh85064428	Iloko language	ilo	Iloko
sh85064432	Ilongot language	ilk	Ilongot
sh92005116	Imbo Ungu language	imo	Imbongu
sh87001878	Imeretian language	kat	Georgian
sh96010755	Inapari language	inp	Iñapari
sh89004858	Inari Sami language	smn	Inari Sami
sh85065767	Indonesian language	ind	Indonesian
sh97004126	Indonesian Sign Language	inl	Indonesian Sign Language
sh85066338	Ingalik language	ing	Degexit&apos;an
sh85066340	Ingano language	inj	Jungle Inga
sh85066342	Ingassana language	tbi	Gaam
sh97004970	Ingilo language	kat	Georgian
sh85066360	Ingrian language	izh	Ingrian
sh85066365	Ingush language	inh	Ingush
sh97004089	Inoke language	ino	Inoke-Yate
sh2003003103	Inor language	ior	Inor
sh85067265	Interglossa language (Artificial)	igs	Interglossa
sh90002806	Inuktitut language	iku	Inuktitut
sh90002810	Inupiaq language	ipk	Inupiaq
sh2002012128	Inuvialuktun language	ikt	Western Canadian Inuktitut
sh87005172	Ionic Greek language	grc	Ancient Greek (to 1453)
sh85067859	Iowa language	iow	Iowa-Oto
sh93007528	Ipili language	ipi	Ipili
sh85067877	Ipurina language	apu	Apurinã
sh88000625	Iquito language	iqu	Iquito
sh93006298	Irahutu language	irh	Irarutu
sh85067933	Iranxe language	irn	Irántxe
sh85067959	Iraqw language	irk	Iraqw
sh85068101	Irish language	gle	Irish
sh85068317	Irula language	iru	Irula
sh93006312	Irumu language	iou	Tuma-Irumu
sh85068371	Ishkashmi language	sgl	Sanglechi-Ishkashimi
sh85068375	Isinay language	inn	Isinai
sh85068492	Island Carib language	crb	Island Carib
sh85068623	Isleta language	tix	Southern Tiwa
sh85068628	Isneg language	isd	Isnag
sh85068765	Istro-Romanian language	ruo	Istro Romanian
sh85068806	Italian language	ita	Italian
sh97002830	Italian Sign Language	ise	Italian Sign Language
sh85069053	Itawis language	itv	Itawit
sh97008084	Itbayat language	ivb	Ibatan
sh85069066	Itonama language	ito	Itonama
sh97003999	Itsekiri language	its	Isekiri
sh91001897	Itzá language	itz	Itzá
sh85069131	Iwaidji language	ibd	Iwaidja
sh85069133	Iwam language	iwm	Iwam
sh85069137	Ixcateco language	ixc	Ixcatec
sh85069152	Izi language	izi	Izi-Ezaa-Ikwo-Mgbo
sh85069172	Jabo language	grj	Southern Grebo
sh91002445	Jah Hut language	jah	Jah Hut
sh85069292	Jaipuri language	dhd	Dhundari
sh85069303	Jama Mapun language	sjm	Mapun
sh93005100	Jamee language	min	Minangkabau
sh85069336	Jaminaua language	yaa	Yaminahua
sh85069643	Japanese language	jpn	Japanese
sh85069645	Japanese--Heian period, 794-1185 language	ojp	Old Japanese
sh85069751	Jarai language	jra	Jarai
sh93002028	Jaunsari language	jns	Jaunsari
sh85069794	Javanese language	jav	Javanese
sh85069859	Jebel Nefusa language	jbn	Nafusi
sh85069868	Jeh language	jeh	Jeh
sh00006338	Jeli language	jek	Jeri Kuo
sh92004871	Jemez language	tow	Jemez
sh88001332	Jenukuruba language	kan	Kannada
sh85070521	Jicaque language	jic	Tol
sh85070523	Jicarilla language	apj	Jicarilla Apache
sh85070544	Jindjibandji language	yij	Yindjibarndi
sh85070550	Jirel language	jul	Jirel
sh85070551	Jita language	jit	Jita
sh85070689	Jongor language	mmy	Migaama
sh93006113	Juang language	jun	Juang
sh85070889	Judeo-Arabic language	jrb	Judeo-Arabic
sh85068810	Judeo-Italian language	itk	Judeo-Italian
sh85070892	Judeo-Persian language	jpr	Judeo-Persian
sh87005872	Judeo-Tajik language	bhh	Bukharic
sh97007140	Judeo-Tat language	jdt	Judeo-Tat
sh85070987	Jukun language	jbu	Jukun Takum
sh85071061	Jupda language	jup	Hupdë
sh85070816	Jurchen language	juc	Jurchen
sh85071214	Kabardian language	kbd	Kabardian
sh88001883	Kabre language	kbp	Kabiyé
sh85071233	Kabyle language	kab	Kabyle
sh85071238	Kachchhi language	kfr	Kachchi
sh85071242	Kachin language	kac	Kachin
sh92006053	Kadu language	kdv	Kado
sh85071254	Kaffa language	kbr	Kafa
sh85071260	Kagaba language	kog	Cogui
sh85071263	Kagate language	syw	Kagate
sh85071265	Kagayanen language	cgc	Kagayanen
sh91005457	Kagoma language	kdm	Kagoma
sh91000810	Kagoro language (Nigeria)	kcg	Tyap
sh85071272	Kaguru language	kki	Kagulu
sh93002793	Kahayan language	nij	Ngaju
sh85071286	Kaike language	kzq	Kaike
sh87000037	Kaili language	pbz	Palu
sh85071294	Kaingang language	kgp	Kaingang
sh96007832	Kairi language	klq	Rumu
sh87007985	Kaiwa language (Papua New Guinea)	kbm	Iwal
sh85071308	Kaje language	kaj	Jju
sh85071309	Kajkavian language	hrv	Croatian
sh99002917	Kaki Ae language	tbd	Kaki Ae
sh92001245	Kako language	kkj	Kako
sh85071320	Kakwa language	keo	Kakwa
sh85071322	Kalabari language	ijn	Kalabari
sh98004758	Kalabra language	kzz	Kalabra
sh90004794	Kalagan language	kqe	Kalagan
sh87007200	Kalam language	kmh	Kalam
sh85071327	Kalamian language	tbk	Calamian Tagbanwa
sh98008149	Kalanga language (Botswana and Zimbabwe)	kck	Kalanga
sh85071331	Kalapuya language	kyl	Kalapuya
sh94000377	Kalash language	kls	Kalasha
sh87005970	Kalâtdlisut language	kal	Kalaallisut
sh85071340	Kalenjin language	kln	Kalenjin
sh85071351	Kalispel language	fla	Kalispel-Pend d&apos;Oreille
sh85071353	Kalkatungu language	ktg	Kalkutung
sh85071365	Kalmyk language	xal	Kalmyk
sh89004001	Kaluli language	bco	Kaluli
sh2001004523	Kamaiurá language	kay	Kamayurá
sh85071386	Kamano language	kbq	Kamano
sh92004872	Kamasau language	kms	Kamasau
sh85071389	Kamassin language	xas	Kamas
sh85071391	Kamba language	kam	Kamba (Kenya)
sh85071393	Kambera language	xbr	Kambera
sh85071395	Kamchadal language	itl	Itelmen
sh93009161	Kamilaroi language	kld	Gamilaraay
sh85071428	Kamoro language	kgq	Kamoro
sh85071435	Kamtuk language	kmt	Kemtuik
sh98005029	Kamula language	xla	Kamula
sh85071437	Kamwe language	hig	Kamwe
sh85071439	Kana language	ogo	Khana
sh85071445	Kanakuru language	kna	Dera (Nigeria)
sh90004946	Kanauji language	bjj	Kanauji
sh85071449	Kanauri language	kfk	Kinnauri
sh92003201	Kanembu language	kbl	Kanembu
sh85071467	Kangri language	xnr	Kangri
sh85071472	Kanite language	kmu	Kanite
sh85071473	Kanjobal language	kjb	Eastern Kanjobal
sh85071475	Kankanay language	kne	Kankanaey
sh85071484	Kannada language	kan	Kannada
sh85071533	Kanuri language	kau	Kanuri
sh85071545	Kaonde language	kqn	Kaonde
sh85071552	Kapau language	hmt	Hamtai
sh85071554	Kapauku language	ekg	Ekari
sh85071556	Kapingamarangi language	kpg	Kapingamarangi
sh85071561	Kapone language	kdk	Numee
sh85071578	Kara language (Central African Republic and Sudan)	kah	Kara (Central African Republic)
sh92004865	Kara language (Papua New Guinea)	leu	Kara (Papua New Guinea)
sh85071582	Karachay-Balkar language	krc	Karachay-Balkar
sh85071587	Karaim language	kdr	Karaim
sh85071573	Kara-Kalpak language	kaa	Kara-Kalpak
sh85071598	Karamojong language	kdj	Karamojong
sh87007475	Karang language (Cameroon)	kzr	Karang
sh93004963	Karanga language	kth	Karanga
sh94005217	Karao language	kyj	Karao
sh85071610	Karata language	kpt	Karata
sh85071623	Kare language	kbj	Kari
sh85071627	Karelian language	krl	Karelian
sh85071639	Karipuna Creole language	kmv	Karipúna Creole French
sh85071641	Kariri language	kzw	Karirí-Xocó
sh87007202	Karitiana language	ktn	Karitiâna
sh97003239	Karko language	kko	Karko
sh97006124	Karksi language	est	Estonian
sh99001309	Karo language (Brazil)	arr	Karo (Brazil)
sh85071661	Karo-Batak language	btx	Batak Karo
sh85071665	Karok language	kyh	Karok
sh85071667	Karré language	kbn	Kare (Central African Republic)
sh85071689	Kasaba language	iru	Irula
sh85071695	Kasem language	xsm	Kasem
sh85071697	Kashaya language	kju	Kashaya
sh85071703	Kashmiri language	kas	Kashmiri
sh85071708	Kashubian language	csb	Kashubian
sh99004140	Kassonke language	kao	Xaasongaxango
sh91000811	Katab language	kcg	Tyap
sh85071739	Kâte language	kmg	Kâte
sh87000521	Katingan language	nij	Ngaju
sh85071745	Kato language	ktw	Kato
sh85071751	Kattang language	kda	Worimi
sh85071753	Katu language	kax	Kao
sh93006308	Kaulong language	pss	Kaulong
sh93004598	Kaure language	bpp	Kaure
sh85071766	Kaurna language	zku	Kaurna
sh85071771	Kaw language	ahk	Akha
sh85071778	Kawaiisu language	xaw	Kawaiisu
sh85071792	Kawi language	kaw	Kawi
sh87007203	Kayabi language	kyz	Kayabí
sh85071802	Kayan language	pdu	Kayan
sh97008884	Kayapa Kallahan language	kak	Kayapa Kallahan
sh94001497	Kaytetye language	gbb	Kaytetye
sh88006677	Kayu Agung language	kge	Komering
sh85071814	Kazakh language	kaz	Kazakh
sh90005015	Kedang language	ksx	Kedang
sh85071873	Kekchi language	kek	Kekchí
sh85071874	Kela language	kel	Kela (Democratic Republic of Congo)
sh85071876	Kele language	keb	Kélé
sh97008886	Keley-i Kallahan language	ify	Keley-I Kallahan
sh85071903	Kemak language	kem	Kemak
sh85071906	Kemant language	ahg	Qimant
sh85071926	Kenga language	kyq	Kenga
sh85072029	Kera language	ker	Kera
sh85072047	Kerebe language	ked	Kerewe
sh85072053	Kerinci language	kvr	Kerinci
sh85072088	Ket language	ket	Ket
sh85072089	Kete language	kcv	Kete
sh90002122	Ketengban language	xte	Ketengban
sh85072136	Kgalagadi language	xkv	Kgalagadi
sh85072146	Khalaj language	kjf	Khalaj
sh85072147	Khaling language	klr	Khaling
sh85072148	Khalkha language	khk	Halh Mongolian
sh85072151	Kham language	xam	/Xam
sh85072154	Khamti language	kht	Khamti
sh89004821	Khandesi language	khn	Khandesi
sh85072162	Khanty language	kca	Khanty
sh85072166	Khari Boli language	hin	Hindi
sh85072169	Kharia language	khr	Kharia
sh85072177	Khasi language	kha	Khasi
sh99013999	Khetrani language	xhe	Khetrani
sh85072195	Khezha language	nkh	Khezha Naga
sh85072199	Khinalugh language	kjj	Khinalugh
sh87002872	Khitan language	zkt	Kitan
sh85072208	Khmu&apos; language	kjg	Khmu
sh85072214	Khoikhoi language	xuu	Kxoe
sh90004586	Khorezmian Turkic language	zkh	Khorezmian
sh85072221	Khotanese language	kho	Khotanese
sh93009145	Khotta language	mai	Maithili
sh85072222	Khowar language	khw	Khowar
sh85072223	Khuf language	sgh	Shughni
sh92002303	Khumi Awa language	cka	Khumi Awa Chin
sh92002304	Khumi language	cnk	Khumi Chin
sh85072226	Khün language	kkh	Khün
sh2001005806	Khvarshi language	khv	Khvarshi
sh85072229	Khyang language	csh	Asho Chin
sh88006899	Kiangan Ifugao language	ifk	Tuwali Ifugao
sh85072239	Kickapoo language	kic	Kickapoo
sh91005013	Kifuliru language	flr	Fuliiru
sh85072310	Kikuyu language	kik	Kikuyu
sh89006379	Kildin Sami language	sjd	Kildin Sami
sh85072322	Kiliwa language	klb	Kiliwa
sh85072353	Kimbundu language	kmb	Kimbundu
sh87000522	Kinaray-a language	krj	Kinaray-A
sh97001836	Kinga language	zga	Kinga
sh85072460	Kingwana language	swc	Congo Swahili
sh85115623	Kinyarwanda language	kin	Kinyarwanda
sh85072496	Kiowa language	kio	Kiowa
sh85072498	Kipchak language	kue	Kuman
sh85072501	Kipsikis language	kln	Kalenjin
sh85072526	Kiriwinian language	kij	Kilivila
sh85072537	Kisa language	luy	Luyia
sh99005124	Kisar language	kje	Kisar
sh85072547	Kissi language	kiz	Kisi
sh85072560	Kitabwa language	tap	Taabwa
sh00003103	Kitja language	gia	Kitja
sh85072593	Kituba language	ktu	Kituba (Democratic Republic of Congo)
sh85072619	Klamath language	kla	Klamath-Modoc
sh93002529	Klingon language (Artificial)	tlh	Klingon
sh93008437	Kluet language	btz	Batak Alas-Kluet
sh90001321	Koasati language	cku	Koasati
sh85072760	Kobon language	kpw	Kobon
sh85072773	Kodagu language	kfa	Kodava
sh88006359	Koho language	kpm	Koho
sh95008089	Kohumono language	bcs	Kohumono
sh93004599	Koiari language	kbk	Grass Koiari
sh85135558	Kok Borok language	trp	Kok Borok
sh97005144	Kolo language	bhp	Bima
sh85072835	Kolokuma language	ijc	Izon
sh96003703	Kom language (Cameroon)	bkm	Kom (Cameroon)
sh85072844	Kom language (India)	kmm	Kom (India)
sh85072857	Komba language	kpf	Komba
sh95004387	Kombai language	tyn	Kombai
sh85072858	Kombe language	nui	Ngumbi
sh87001276	Komering language	kge	Komering
sh85072861	Komi language	kom	Komi
sh85072863	Komi-Permyak language	koi	Komi-Permyak
sh85072868	Komi-Yaz&apos;va language	kpv	Komi-Zyrian
sh93009490	Komo language (Congo)	kmw	Komo (Democratic Republic of Congo)
sh89006659	Komodo language	kvh	Komodo
sh93007629	Komunku language	snp	Siane
sh85072890	Konda language	kfc	Konda-Dora
sh92004873	Kongara language	nas	Naasioi
sh85072898	Kongo language	kon	Kongo
sh85071469	Koniagmiut language	ems	Pacific Gulf Yupik
sh85072912	Konkani language	kok	Konkani (macrolanguage)
sh85072918	Konkomba language	xon	Konkomba
sh85072932	Konyak language	nbe	Konyak Naga
sh85072937	Koongo language (Western Kongo)	kng	Koongo
sh94005162	Koozime language	ozm	Koonzime
sh85072942	Kopagmiut language	ikt	Western Canadian Inuktitut
sh85072998	Korana language	kqz	Korana
sh85073002	Korape language	kpr	Korafe-Yegha
sh85073088	Korean language	kor	Korean
sh85073090	Korean--Middle Korean, 935-1500 language	okm	Middle Korean (10th-16th cent.)
sh85073089	Korean--To 935 language	oko	Old Korean (3rd-9th cent.)
sh91005703	Korekore language	sna	Shona
sh00005128	Koronadal Blaan language	bpr	Koronadal Blaan
sh96009998	Korowai language	khe	Korowai
sh87006122	Korwa language	kfp	Korwa
sh85073160	Koryak language	kpy	Koryak
sh97002651	Kosarek language	kkl	Kosarek Yale
sh85073168	Kosena language	kze	Kosena
sh85073174	Koshti language (Marathi)	mar	Marathi
sh85073192	Kota language (India)	kfe	Kota (India)
sh99002248	Kott language	zko	Kott
sh85073212	Koya language	kff	Koya
sh2002009975	Koyraboro Senni language	ses	Koyraboro Senni Songhai
sh85073216	Koyukon language	koy	Koyukon
sh85073226	Kpelle language	kpe	Kpelle
sh85073227	Kposo language	kpo	Ikposo
sh92002315	Kraho language	xra	Krahô
sh85073272	Kreish language	kpl	Kpala
sh85073288	Krio language	kri	Krio
sh91001734	Kriol language	rop	Kriol
sh92005010	Kristang language	mcm	Malaccan Creole Portuguese
sh86002353	Krongo language	kgo	Krongo
sh85073316	Kru language	klu	Klao
sh85073346	Kuanyama language	kua	Kuanyama
sh85073348	Kubachi language	dar	Dargwa
sh87003179	Kubu language	kvb	Kubu
sh85073357	Kudali language	gom	Goan Konkani
sh85073376	Kui language (Mon-Khmer)	kdt	Kuy
sh85073375	Kui language	kxu	Kui (India)
sh94002692	Kukatja language	kux	Kukatja
sh85073382	Kuki language	tcz	Thado Chin
sh2001003488	Kuku language	bfa	Bari
sh85057706	Kuku-Yalanji language	gvn	Kuku-Yalanji
sh85073390	Kukwa language	kkw	Teke-Kukuya
sh85073392	Kùláál language	glj	Gula Iro
sh85073408	Kului language	kfx	Kullu Pahari
sh85073409	Kulung language	kle	Kulung (Nepal)
sh85090731	Kumak language	nee	Kumak
sh88003806	Kumali language	kra	Kumhali
sh85073417	Kumauni language	kfy	Kumaoni
sh85057906	Kumbainggar language	kgs	Kumbainggar
sh85073430	Kumyk language	kum	Kumyk
sh85073434	Kunabi language	knn	Konkani (individual language)
sh85073435	Kunama language	kun	Kunama
sh85073444	Kunimaipa language	kup	Kunimaipa
sh88000626	Kuo language	xuo	Kuo
sh85073458	Kupia language	key	Kupia
sh87007613	Kurada language	kud	&apos;Auhelawa
sh91006169	Kuranko language	knk	Kuranko
sh85073463	Kurdish language	kur	Kurdish
sh85073471	Kuria language	kuj	Kuria
sh85073473	Kurku language	kfq	Korku
sh88004087	Kurmali language	kyw	Kudmali
sh85073488	Kurukh language	kru	Kurukh
sh86007447	Kurumba language	kfi	Kannada Kurumba
sh85073501	Kusaal language	kus	Kusaal
sh85073496	Kusaie language	kos	Kosraean
sh85073503	Kusunda language	kgg	Kusunda
sh85073514	Kutenai language	kut	Kutenai
sh88007010	Kuuku Ya&apos;u language	kuy	Kuuku-Ya&apos;u
sh85012070	Kuvakan language	bak	Bashkir
sh85073521	Kuvi language	kxv	Kuvi
sh85073533	Kwafi language	mas	Masai
sh85073536	Kwaio language	kwd	Kwaio
sh85073542	Kwakiutl language	kwk	Kwakiutl
sh96012120	Kwami language	ksq	Kwaami
sh85073543	Kwangali language	kwn	Kwangali
sh85048918	Kwara&apos;ae language	kwf	Kwara&apos;ae
sh99014696	Kwatay language	cwt	Kuwaataay
sh85073552	Kweni language	goa	Guro
sh85073553	Kwerba language	kwe	Kwerba
sh85073554	Kwese language	kws	Kwese
sh86000904	Kwiri language	bri	Mokpwe
sh85072516	Kyrgyz language	kir	Kirghiz
sh85073614	Laadi language	ldi	Laari
sh85073615	Laal language	gdm	Laal
sh85073617	Laamang language	hia	Lamang
sh2003000170	Labo language	mwi	Labo
sh85073799	Lacandon language	lac	Lacandon
sh85073880	Ladakhi language	lbj	Ladakhi
sh87003128	Ladin language	lld	Ladin
sh85073893	Ladino language	lad	Ladino
sh85073971	Laguna language	kjq	Western Keres
sh89007032	Laha language (Vietnam)	lkh	Lakha
sh85073978	Lahnda language	lah	Lahnda
sh85073981	Lahu language	lhu	Lahu
sh86004223	Lahuli language	lbf	Tinani
sh92006127	Laizo language (Burma)	cfm	Falam Chin
sh85073994	Lak language	lbe	Lak
sh85074149	Lakher language	mrh	Mara Chin
sh2003000169	Lakona language	lkn	Lakona
sh85074152	Lakota language	lkt	Lakota
sh85074156	Lala language	nrz	Lala
sh00005847	Lamaholot language	slp	Lamaholot
sh2003008958	Lamalama language	lby	Lamu-Lamu
sh93008044	Lamandau language	xdy	Malayic Dayak
sh85074170	Lamba language (Zambia and Congo)	lam	Lamba
sh85074171	Lambadi language	lmn	Lambadi
sh2004007039	Lambau language	snp	Siane
sh86004510	Lamé language (Cameroon)	lme	Pévé
sh2003005696	Lamma language	lev	Lamma
sh85074270	Lampung language	ljp	Lampung Api
sh85074275	Lanao Moro language	mrw	Maranao
sh85074505	Lango language	lno	Lango (Sudan)
sh85074644	Lao language	lao	Lao
sh96005078	Laqua language	laq	Qabiao
sh98002281	Lardil language	lbz	Lardil
sh93004601	Larike-Wakasihu language	alo	Larike-Wakasihu
sh2003010193	Larrakia language	lrg	Laragia
sh89006579	Lashkh language	sva	Svan
sh85074944	Latin language	lat	Latin
sh85075013	Latvian language	lav	Latvian
sh85075028	Lau language	llu	Lau
sh91006071	Lavongai language	lcm	Tungag
sh2003006250	Lavukaleve language	lvk	Lavukaleve
sh93003394	Lawangan language	lbx	Lawangan
sh85075410	Laz language	lzz	Laz
sh88005402	Lebou language	wol	Wolof
sh85075698	Lefana language	lef	Lelemi
sh87000103	Leko language	lse	Lusengo
sh2001000988	Lele language (Chad)	lln	Lele (Chad)
sh97006206	Lematang language	mui	Musi
sh87001425	Lembak Bilide language	liw	Col
sh85075971	Lenakel language	tnl	Lenakel
sh85075973	Lenca language	len	Lenca
sh93009491	Lendu language	led	Lendu
sh85075980	Lengua language	leg	Lengua
sh85075991	Lenje language	leh	Lenje
sh85076045	Lepcha language	lep	Lepcha
sh85011166	Lese language	les	Lese
sh93009696	Letri lgona language	lex	Luang
sh85076258	Leuangiua language	ojv	Ontong Java
sh85076373	Lezgian language	lez	Lezghian
sh85076381	Lhomi language	lhm	Lhomi
sh85076382	Lhota language	njh	Lotha Naga
sh85076391	Li language	dij	Dai
sh85077829	Liangmai Naga language	njn	Liangmai Naga
sh99013626	Ligbi language	lig	Ligbi
sh85076967	Lilima language	kck	Kalanga
sh85076978	Lillooet language	lil	Lillooet
sh85077000	Limbu language	lif	Limbu
sh85077001	Limbum language	lmp	Limbum
sh2002009968	Limburgish language	lim	Limburgan
sh2002007295	Limilngan language	lmc	Limilngan
sh86007747	Linda language	liy	Banda-Bambari
sh93006284	Lindrou language	lid	Nyindrou
sh92001345	Lintang language	pse	Central Malay
sh85077471	Lisu language	lis	Lisu
sh85077647	Lithuanian language	lit	Lithuanian
sh85077822	Livonian language	liv	Liv
sh2004003273	Lobedu language	nso	Pedi
sh92000179	Logo language	log	Logo
sh85078138	Logooli language	rag	Logooli
sh2003006561	Lojban language (Artificial)	jbo	Lojban
sh87007630	Loko language	lok	Loko
sh97003762	Lolak language	llq	Lolak
sh92005162	Lom language	mfb	Bangka
sh85078172	Loma language	lom	Loma (Liberia)
sh85078177	Lombard language	lmo	Lombard
sh2003003301	Longgu language	lgu	Longgu
sh85078309	Longuda language	lnu	Longuda
sh95009944	Loniu language	los	Loniu
sh85078314	Lonwolwol language	crc	Lonwolwol
sh90004650	Lopa language (Nepal)	loy	Lowa
sh88000631	Lorhon language	lor	Téén
sh87000104	Losengo language	lse	Lusengo
sh98005034	Lote language	uvl	Lote
sh85074998	Lotuko language	lot	Otuho
sh99005776	Lou language	loj	Lou
sh85078517	Lovari language	rmy	Vlax Romani
sh85078668	Lower Sorbian language	dsb	Lower Sorbian
sh91000530	Lower Tanudan Kalinga language	kml	Lower Tanudan Kalinga
